Name of Organization,Program,Address,Borough,Postcode,Served By,Event Date,Citywide Outreach,Age,Head Start PreK,Hospital Health Care,Seniors,Community Site,Hands On,Special Needs,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),the_geom,Site_Serve,Event_Date,Activity,LONG,LAT,X,Y,opportunity_id,content_id,vol_requests,event_time,title,hits,summary,is_priority,category_id,category_desc,amsl,amsl_unit,org_title,org_content_id,addresses_count,locality,region,primary_loc,display_url,recurrence_type,hours,created_date,last_modified_date,start_date_date,end_date_date,status,Community Council ,Census Tract,NTA
JHS 185Q Edward Bleeker,Outreach,147-26 25th Drive,QN,11354,Citywide Outreach,01/16/2024,Parent Workshop,Adults,No,No,No,Yes,No,,40.775253,-73.819347,407.0,19.0,4108664.0,4048020001.0,1047.0,QN0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 331 (2),Outreach,40  West Tremont,BX,10453,Citywide Outreach,01/16/2024,Stop-Think-Act,Grade 8,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 139 Alexine A Fenty,Outreach,330 Rugby Rd,BK,11226,Citywide Outreach,01/16/2024,"My Safety Toolbox
Word on the Street
Word on the Street","Grade 3
Grade 4
Grade 5",No,No,No,No,No,,40.641937,-73.965523,314.0,40.0,3328235.0,3051440064.0,1522.0,BK1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyckoff Gardens Neighborhood Senior Center,Outreach,280 Wyckoff Street,BK,11217,Citywide Outreach,01/16/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.683365,-73.983941,306.0,39.0,3336056.0,3003940001.0,127.0,BK0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal Spellman High School,Outreach,1 Cardinal Spellman Place,BX,10466,,01/17/2024,Alive at 25,Grade 12,No,No,No,No,No,,40.882523,-73.839965,212.0,12.0,2097413.0,2049050265.0,460.0,BX1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #1,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,01/17/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican CONSULATE,Special Event,"1501 Broadway,4th floor, New York ,",MN,10036,Citywide Outreach,01/17/2024,Other Special Event,Older Adults,No,No,No,Yes,Yes,Other special needs,40.757103,-73.986193,105.0,3.0,1024706.0,1010150029.0,119.0,MN0502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.H.S. 223 The Montauk,Outreach,4200 16 Avenue,BK,11204,Citywide Outreach,01/17/2024,Word on the Street,Grade 6,No,No,No,No,No,,40.634875,-73.981528,312.0,44.0,3125676.0,3053620021.0,230.0,BK1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 121,Outreach,126-10 109Th Ave,QN,11420,Citywide Outreach,01/17/2024,Cross this way,Grade 5,No,No,No,No,No,,40.68405,-73.815834,410.0,28.0,4249769.0,4116070001.0,170.0,QN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 139 Alexine A Fenty,Outreach,330 Rugby Rd,BK,11226,Citywide Outreach,01/17/2024,"My Safety Toolbox
Word on the Street","Grade 3
Grade 4",No,No,No,No,No,,40.641937,-73.965523,314.0,40.0,3328235.0,3051440064.0,1522.0,BK1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 212 Lady Deborah Moody,Outreach,87 Bay 49Th St,BK,11214,Citywide Outreach,01/17/2024,"Word on the Street
Word on the Street","Grade 4
Grade 5",No,No,No,No,No,,40.587616,-73.985948,313.0,47.0,3187407.0,3069170001.0,31401.0,BK1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLC Adult Daycare,Outreach,97-40 64 Avenue,QN,11374,Citywide Outreach,01/17/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.729936,-73.859646,406.0,29.0,4607563.0,4020917501.0,71701.0,QN0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal Spellman High School,Outreach,1 Cardinal Spellman Place,BX,10466,,01/18/2024,Alive at 25,Grade 12,No,No,No,No,No,,40.882523,-73.839965,212.0,12.0,2097413.0,2049050265.0,460.0,BX1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRESS HILLS After School Program @PS65 (2),Outreach,700 Jamaica Avenue,BK,11208,Citywide Outreach,01/18/2024,"Safety Smarts
Cross this way","Grade 1
Grade 4",No,No,No,No,No,,40.687194,-73.87845,305.0,37.0,3397004.0,3041020019.0,117601.0,BK0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #1,Outreach,158 East 115th  Street,MN,10029,Citywide Outreach,01/18/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH/Family Wellness #2,Outreach,158 East 115th Street,MN,10029,Citywide Outreach,01/18/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.797755,-73.941699,111.0,8.0,1052229.0,1016400147.0,182.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health Art Robotics & Technology High School,Theater,207-01 116th Avenue,BX,11411,Citywide Outreach,01/18/2024,FLT Teen Performance,Grade 11,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.H.S. 223 The Montauk,Outreach,4200 16 Avenue,BK,11204,Citywide Outreach,01/18/2024,Stop-Think-Act,Grade 7,No,No,No,No,No,,40.634875,-73.981528,312.0,44.0,3125676.0,3053620021.0,230.0,BK1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Street Health,Special Event,1114 Liberty Avenue,BK,11208,Citywide Outreach,01/18/2024,Other Special Event,Adults,No,No,No,No,Yes,,40.678518,-73.86831,305.0,37.0,3094363.0,3042010022.0,1188.0,BK0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Penn South Social Services,Bike Safety,343 8th Avenue,MN,10001,Citywide Outreach,01/18/2024,Other Bike Safety,Older Adults,No,No,Yes,Yes,No,,40.747736,-73.996723,104.0,3.0,1082793.0,1007510001.0,97.0,MN0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 212 Lady Deborah Moody,Outreach,87 Bay 49Th St,BK,11214,Citywide Outreach,01/18/2024,"Word on the Street
Word on the Street","Grade 4
Grade 5",No,No,No,No,No,Self contained,40.587616,-73.985948,313.0,47.0,3187407.0,3069170001.0,31401.0,BK1301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 235 Lenox School,Outreach,525 Lenox Rd,BK,11203,Citywide Outreach,01/18/2024,Word on the Street,Grade 4,No,No,No,No,No,,40.654704,-73.941089,317.0,40.0,3107846.0,3048440001.0,814.0,BK1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senior Community Center ARC,Outreach,"516 W 181 St New York,",MN,10033,Citywide Outreach,01/18/2024,,Older Adults,No,No,No,Yes,No,,40.848436,-73.93165,112.0,10.0,1063614.0,1021520067.0,269.0,MN1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillcrest Older Adult Center,Outreach,91-34 182 Place,QN,11423,Citywide Outreach,01/19/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.709634,-73.778431,412.0,23.0,4211802.0,4099000001.0,470.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 235 Lenox School,Outreach,525 Lenox Rd,BK,11203,Citywide Outreach,01/19/2024,Cross this way,Grade 5,No,No,No,No,No,,40.654704,-73.941089,317.0,40.0,3107846.0,3048440001.0,814.0,BK1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 264 Bay Ridge Elementary School For The Arts,Outreach,371 89Th St,BK,11209,Citywide Outreach,01/19/2024,"Word on the Street
Word on the Street","Grade 4
Grade 5",No,No,No,Yes,No,,40.620957,-74.03015,310.0,47.0,3413664.0,3060620141.0,60.0,BK1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 273 Wortman,Outreach,923 Jerome St,BK,11207,Citywide Outreach,01/19/2024,"Safety Smarts
My Safety Toolbox
Word on the Street
Word on the Street","Grade 2
Grade 3
Grade 1
Grade 5",No,No,No,No,No,,40.657922,-73.879354,305.0,42.0,3097973.0,3044010001.0,1078.0,BK0503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Health Center Amedisys #1,Child Passenger Safety,133-03 Jamaica Avenue,QN,11418,Citywide Outreach,01/19/2024,Safety Shower,Adults,No,Yes,No,No,No,,40.702268,-73.819498,409.0,29.0,4194031.0,4092840006.0,14202.0,QN0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville Wellness Center (1),Child Passenger Safety,259 Bristol Street,BK,11212,Citywide Outreach,01/20/2024,Parent Workshop,Adults,No,No,No,Yes,No,,40.664827,-73.911415,316.0,41.0,3081765.0,3035590011.0,924.0,BK1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boys and Girls Club @ PS 97Q (2),Outreach,85-52 85th Street,QN,11421,Citywide Outreach,01/22/2024,Safety Smarts,Grade K,No,No,No,No,No,,40.694518,-73.859659,409.0,32.0,4181565.0,4088550020.0,12.0,QN0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartshare Human Services,Outreach,689 Hart Street,BK,11221,Citywide Outreach,01/22/2024,Cross this way,Adults,No,No,No,No,No,Other special needs,40.699133,-73.925499,304.0,34.0,3073148.0,3032180054.0,423.0,BK0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 236 Mill Basin,Outreach,6302 Ave U,BK,11234,Citywide Outreach,01/22/2024,Safety Smarts,Grade 2,No,No,No,No,No,,40.615998,-73.912989,318.0,46.0,3326821.0,3084640001.0,698.0,BK1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highbridge Advisory Council Nelson Ave.,Outreach,1181 Nelson Avenue,BX,10452,Citywide Outreach,01/23/2024,Parent Workshop,Adults,Yes,No,No,No,No,,40.837232,-73.925706,204.0,16.0,2003301.0,2025160051.0,199.0,BX0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Oeter Recreational Center after school program,Outreach,35-30 35th Street,QN,11106,Citywide Outreach,01/23/2024,Other after school,Children,No,No,No,Yes,No,,40.756073,-73.925767,401.0,26.0,4436888.0,4006380037.0,57.0,QN0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRONX RIVER NEPO oUTREACH,Outreach,2545 UNIVERSITY AVE. BRONX NY,MN,10468,Citywide Outreach,01/23/2024,,Older Adults,No,No,No,Yes,Yes,Other special needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite3,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,01/23/2024,Parent Workshop,Adults,No,No,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Harlem Senior Center,Outreach,150 East 121 Street,MN,10035,Citywide Outreach,01/23/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.801704,-73.939037,111.0,8.0,1054378.0,1017690021.0,196.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jhs 162 Willoughby (The),Outreach,1390 Willoughby Ave,BK,11237,Citywide Outreach,01/23/2024,Parent Workshop,,No,No,No,Yes,No,,40.707229,-73.919805,304.0,34.0,3073018.0,3032120001.0,445.0,BK0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 138Q,Outreach,251-11 Weller Avenue,QN,11422,Citywide Outreach,01/23/2024,"My Safety Toolbox
My Safety Toolbox","Grade 2
Grade 3",No,No,No,Yes,No,,40.659728,-73.735176,413.0,31.0,4288640.0,4135780001.0,660.0,QN1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 221 Toussaint L'Ouverture,Theater,791 Empire Blvd,BK,11213,Citywide Outreach,01/23/2024,FLT Teen Performance,Grade 5,No,No,No,No,No,,40.663701,-73.936049,309.0,41.0,3038372.0,3014230014.0,355.0,BK0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 221 Toussaint L'Ouverture - 2,Theater,791 Empire Blvd,BK,11213,Citywide Outreach,01/23/2024,FLT Teen Performance,Grade 4,No,No,No,No,No,,40.663701,-73.936049,309.0,41.0,3038372.0,3014230014.0,355.0,BK0901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 236 Mill Basin,Outreach,6302 Ave U,BK,11234,Citywide Outreach,01/23/2024,Word on the Street,Grade 4,No,No,No,No,No,,40.615998,-73.912989,318.0,46.0,3326821.0,3084640001.0,698.0,BK1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Active care social adult care center,Material Distribution,17714 Wexford Terr,QN,11432,Citywide Outreach,01/24/2024,Seniors - Streetwise,Older Adults,No,No,No,No,No,,40.713096,-73.785998,408.0,24.0,4617569.0,4098350026.0,466.0,QN0804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite #2,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,01/24/2024,Child Passenger Safety Workshop,Adults,No,Yes,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 238 Susan B Anthony Academy,Outreach,88-15 182Nd St,QN,11423,Citywide Outreach,01/24/2024,"My Safety Toolbox
My Safety Toolbox
My Safety Toolbox
My Safety Toolbox","Grade 6
Grade 6
Grade 7
Grade 6",No,No,No,No,No,District 75,40.713094,-73.780468,412.0,23.0,4212425.0,4099190006.0,470.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS 138,Outreach,251-11 Weller Avenue,QN,11422,Citywide Outreach,01/24/2024,"Stop-Think-Act
Stop-Think-Act
Stop-Think-Act","Grade 7
Grade 6
Grade 6",No,No,No,No,No,,40.659728,-73.735176,413.0,31.0,4288640.0,4135780001.0,660.0,QN1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 100 Glen Morris,Outreach,111-11 118Th St,QN,11420,Citywide Outreach,01/24/2024,"Safety Smarts
Word on the Street","Grade 2
Grade 4",No,No,No,No,No,,40.679984,-73.822078,410.0,28.0,4250416.0,4116230001.0,102.0,QN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 124 Yung Wing,Theater,40 Division St,MN,10002,Citywide Outreach,01/24/2024,FLT Teen Performance,Grade 4,No,No,No,No,No,,40.714182,-73.995451,103.0,1.0,1075787.0,1002890001.0,16.0,MN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 124 Yung Wing-2,Theater,40 Division St,MN,10002,Citywide Outreach,01/24/2024,FLT Teen Performance,Grade 5,No,No,No,No,No,,40.714182,-73.995451,103.0,1.0,1075787.0,1002890001.0,16.0,MN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 138Q,Outreach,251-11 Weller Avenue,QN,11422,Citywide Outreach,01/24/2024,"Let’s Take a Walk
Safety Smarts","Grade K
Grade 1",No,No,No,Yes,No,,40.659728,-73.735176,413.0,31.0,4288640.0,4135780001.0,660.0,QN1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 346 Abe Stark,Outreach,1400 Pennsylvania Ave,BK,11239,Citywide Outreach,01/24/2024,My Safety Toolbox,Grade 3,No,No,No,No,No,Self contained,40.64726,-73.881114,305.0,42.0,3098294.0,3044520025.0,105804.0,BK0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 354,Outreach,126-10 Bedell Street,QN,11434,Citywide Outreach,01/24/2024,Safety Smarts,Grade 1,No,No,No,No,No,,40.68031,-73.774432,412.0,28.0,4270045.0,4124950065.0,33403.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 238 Susan B Anthony Academy,Outreach,88-15 182Nd St,QN,11423,Citywide Outreach,01/25/2024,"Word on the Street
Safety Smarts
Safety Smarts
Safety Smarts","Grade 6
Grade 6
Grade 6
Grade 6",No,No,No,No,No,District 75,40.713094,-73.780468,412.0,23.0,4212425.0,4099190006.0,470.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 124 Silas B Dutcher,Theater,515 4Th Ave,BK,11215,Citywide Outreach,01/25/2024,FLT Teen Performance,Grade 4,No,No,No,No,No,,40.667545,-73.991046,306.0,38.0,3023391.0,3010340001.0,14101.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 124 Silas B Dutcher-2,Theater,515 4Th Ave,BK,11215,Citywide Outreach,01/25/2024,FLT Teen Performance,Grade 5,No,No,No,No,No,,40.667545,-73.991046,306.0,38.0,3023391.0,3010340001.0,14101.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 138Q (2),Outreach,251-11 Weller Avenue,QN,11422,Citywide Outreach,01/25/2024,"Stop-Think-Act
Stop-Think-Act
Stop-Think-Act","Grade 6
Grade 7
Grade 6",No,No,No,Yes,Yes,,40.659728,-73.735176,413.0,31.0,4288640.0,4135780001.0,660.0,QN1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 229 Emanuel Kaplan,Outreach,67-25 51st Road,QN,11377,Citywide Outreach,01/25/2024,Word on the Street,Grade 4,No,No,No,No,No,,40.734294,-73.897557,405.0,30.0,4440274.0,4024230001.0,513.0,QN0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 346 Abe Stark,Outreach,1400 Pennsylvania Ave,BK,11239,Citywide Outreach,01/25/2024,Word on the Street,Grade 4,No,No,No,No,No,Self contained,40.64726,-73.881114,305.0,42.0,3098294.0,3044520025.0,105804.0,BK0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 46Q Alley Pond,Outreach,64-45 218th Street,QN,11364,Citywide Outreach,01/25/2024,Cross this way,Grade 5,No,No,No,No,No,,40.746202,-73.758752,411.0,23.0,4162449.0,4076190001.0,1367.0,QN1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 8 M Luis Belliard,Outreach,465 West 167Th Street,MN,10032,Citywide Outreach,01/25/2024,"My Safety Toolbox
Safety Smarts","Grade 3
Grade 2",No,No,No,No,No,,40.838954,-73.936838,112.0,10.0,1081842.0,1021120001.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL Oeter Recreational Center after school program,Outreach,35-30 35th Street,QN,11106,Citywide Outreach,01/26/2024,Cross this way,Children,No,No,No,Yes,No,,40.756073,-73.925767,401.0,26.0,4436888.0,4006380037.0,57.0,QN0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYPRESS HILLS After School Program @PS65  (3),Outreach,700 Jamaica Avenue,BK,11208,Citywide Outreach,01/26/2024,"Safety Smarts
Safety Smarts","Grade 2
Grade 2",No,No,No,No,No,,40.687194,-73.87845,305.0,37.0,3397004.0,3041020019.0,117601.0,BK0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovgevity Adult Day Care Center,Outreach,285 Grand Street,MN,10002,Citywide Outreach,01/26/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.71773,-73.992493,103.0,1.0,1077601.0,1003060022.0,16.0,MN0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Central Hospital,Child Passenger Safety,3424 Kossuth Avenue,BX,10467,Citywide Outreach,01/26/2024,Parent Workshop,Adults,No,Yes,No,No,No,,40.880676,-73.881571,207.0,11.0,2017787.0,2033270200.0,421.0,BX0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYCHA UPACA 5 & 6,Special Event,150 East 121 Street,MN,10035,Citywide Outreach,01/26/2024,Community Fair,Older Adults,No,No,Yes,Yes,Yes,,40.801704,-73.939037,111.0,8.0,1054378.0,1017690021.0,196.0,MN1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 100 Glen Morris,Outreach,111-11 118Th St,QN,11420,Citywide Outreach,01/26/2024,My Safety Toolbox,Grade 3,No,No,No,No,No,,40.679984,-73.822078,410.0,28.0,4250416.0,4116230001.0,102.0,QN1001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ps 346 Abe Stark (1),Outreach,1400 Pennsylvania Ave,BK,11239,Citywide Outreach,01/26/2024,Word on the Street,Grade 5,No,No,No,No,No,Self contained,40.64726,-73.881114,305.0,42.0,3098294.0,3044520025.0,105804.0,BK0504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 354,Outreach,126-10 Bedell Street,QN,11434,Citywide Outreach,01/26/2024,Safety Smarts,Grade 2,No,No,No,No,No,,40.68031,-73.774432,412.0,28.0,4270045.0,4124950065.0,33403.0,QN1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS 8 M Luis Belliard,Outreach,465 West 167Th Street,MN,10032,Citywide Outreach,01/26/2024,"Word on the Street
Word on the Street","Grade 4
Grade 5",No,No,No,No,No,,40.838954,-73.936838,112.0,10.0,1081842.0,1021120001.0,249.0,MN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center for Family Life Afterschool at PS 94K,Outreach,5010 Sixth Avenue,BK,11220,Citywide Outreach,01/29/2024,Word on the Street,Grade 4,No,No,No,Yes,No,,40.64366,-74.008252,307.0,38.0,3332126.0,3007920026.0,98.0,BK0703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Board 9,Special Event,883 ClassonAve,BK,11225,Citywide Outreach,01/29/2024,Community Fair,Adults,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highbridge Senior Center,Outreach,"1181 Nelson Avenue, 2nd Floor",BX,10452,Citywide Outreach,01/29/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.837232,-73.925706,204.0,16.0,2003301.0,2025160051.0,199.0,BX0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 238 Susan B Anthony Academy,Outreach,88-15 182Nd St,QN,11423,Citywide Outreach,01/29/2024,Other after school,Children,No,No,No,Yes,No,,40.713094,-73.780468,412.0,23.0,4212425.0,4099190006.0,470.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luna Park Older Adult Center,Outreach,2880 West 12 Street,BK,11224,Citywide Outreach,01/29/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.577347,-73.979625,313.0,47.0,3196559.0,3072660060.0,350.0,BK1302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oak Street Health - South Jamaica,Outreach,115-15 Sutphin Blvd,QN,11434,Citywide Outreach,01/29/2024,Seniors - Streetwise,Older Adults,No,No,No,Yes,No,,40.684447,-73.792648,412.0,28.0,4264187.0,4121880001.0,272.0,QN1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABID Arrow Bike Shop,Bike Safety,2766 Pitkin Ave,BK,11208,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.675681,-73.869934,305.0,42.0,3095140.0,3042350017.0,1200.0,BK0505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assambly Distric 78 office free seniors tax prep,Outreach,2633 Wbster Ave. 1FLOOR Bronx NY,BX,10458,Citywide Outreach,01/30/2024,Other,Adults,No,No,No,Yes,No,Other special needs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brooklyn Urban Garden Charter School,Outreach,500 19th St Brooklyn,BK,11215,Citywide Outreach,01/30/2024,Word on the Street,Grade 6,No,No,No,No,No,,40.656944,-73.983115,307.0,39.0,3017307.0,3008890001.0,1502.0,BK0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bushwick Bicycle Shop Inc.,Bike Safety,308 Irving Avenue,BK,11237,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.698883,-73.914157,304.0,37.0,3076151.0,3033260043.0,433.0,BK0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOH Family Wellness Suite4,Outreach,1826 Arthur Avenue,BX,10457,Citywide Outreach,01/30/2024,Parent Workshop,Adults,No,No,No,No,No,,40.844083,-73.894482,206.0,15.0,2009891.0,2029450018.0,36901.0,BX0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M E-Bike,Bike Safety,1018 Bergen Street,BK,11216,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.676214,-73.952271,308.0,36.0,3030641.0,3012190005.0,315.0,BK0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly E-Bike Wyckoff Ave,Bike Safety,264 Wyckoff Avenue,BK,11237,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.700257,-73.912403,304.0,37.0,3076367.0,3033370022.0,439.0,BK0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fly Wing E-Bike,Bike Safety,662 Nostrand Avenue,BK,11216,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.675769,-73.949957,308.0,36.0,3030666.0,3012190039.0,315.0,BK0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is 238 Susan B Anthony Academy,Outreach,88-15 182Nd St,QN,11423,,01/30/2024,Other after school,Children,No,No,No,Yes,No,,40.713094,-73.780468,412.0,23.0,4212425.0,4099190006.0,470.0,QN1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&C E-Bike,Bike Safety,10 Sterling Place,BK,11217,Citywide Outreach,01/30/2024,Materials Distribution,Adults,No,No,No,No,No,,40.67881,-73.978105,306.0,39.0,3019198.0,3009440010.0,131.0,BK0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto Gardens Senior Club,Outreach,85 Palmetto Street,BK,11221,Citywide Outreach,01/30/2024,Seniors - Streetwise,Older Adults,No,No,Yes,No,No,,40.691599,-73.91884,304.0,37.0,3076429.0,3033400020.0,399.0,BK0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
